subscription_id,user_id,plan_type,start_date,end_date,status
S0000,U0001,Basic,2023-03-18,,active
S0001,U0002,Basic,2023-05-27,,active
S0002,U0003,Standard,2023-03-08,,active
S0003,U0004,Standard,2023-01-08,2023-04-18,canceled
S0004,U0005,Premium,2023-05-02,,active
S0005,U0006,Premium,2023-06-24,2023-10-05,canceled
S0006,U0007,Basic,2023-06-28,,active
S0007,U0008,Premium,2023-03-26,,active
S0008,U0009,Standard,2023-02-14,,active
S0009,U0010,Premium,2023-05-16,,active
S0010,U0011,Premium,2023-01-16,,active
S0011,U0012,Premium,2023-07-14,,active
S0012,U0013,Basic,2023-01-09,,active
S0013,U0014,Standard,2023-01-15,,active
S0014,U0015,Standard,2023-04-12,,active
S0015,U0016,Premium,2023-08-14,,active
S0016,U0017,Standard,2023-10-05,2023-11-23,canceled
S0017,U0018,Basic,2023-04-23,,active
S0018,U0019,Basic,2023-01-01,2023-06-05,canceled
S0019,U0020,Standard,2023-09-23,2024-03-09,canceled
S0020,U0021,Standard,2023-07-27,,active
S0021,U0022,Standard,2023-04-20,,active
S0022,U0023,Premium,2023-07-19,,active
S0023,U0024,Premium,2023-01-12,,active
S0024,U0025,Premium,2023-07-07,,active
S0025,U0026,Basic,2023-06-03,2023-08-07,canceled
S0026,U0027,Basic,2023-10-06,,active
S0027,U0028,Standard,2023-06-20,,active
S0028,U0029,Basic,2023-05-14,,active
S0029,U0030,Basic,2023-01-25,,active
S0030,U0031,Basic,2023-01-18,2023-03-30,canceled
S0031,U0032,Premium,2023-07-09,,active
S0032,U0033,Basic,2023-05-21,2023-09-19,canceled
S0033,U0034,Basic,2023-02-12,,active
S0034,U0035,Basic,2023-10-11,2023-12-21,canceled
S0035,U0036,Premium,2023-05-26,2023-07-23,canceled
S0036,U0037,Premium,2023-04-02,,active
S0037,U0038,Standard,2023-06-28,,active
S0038,U0039,Standard,2023-02-25,,active
S0039,U0040,Basic,2023-06-04,2023-10-14,canceled
S0040,U0041,Premium,2023-06-09,,active
