user_id,date,hours_watched,content_type,platform
U0001,2023-04-26,1.5,Series,Mobile
U0001,2023-06-17,4.0,Movies,Mobile
U0001,2023-05-30,2.8,Series,TV
U0001,2023-04-03,4.2,Movies,TV
U0001,2023-04-09,4.9,Series,Web
U0001,2023-05-09,1.8,Movies,Mobile
U0001,2023-06-04,4.5,Movies,TV
U0001,2023-07-04,2.3,Movies,Mobile
U0001,2023-06-03,2.5,Movies,TV
U0001,2023-06-21,3.6,Series,Web
U0002,2023-06-05,1.4,Movies,TV
U0002,2023-08-15,2.8,Series,Web
U0002,2023-08-04,3.4,Movies,Mobile
U0002,2023-09-08,3.4,Movies,TV
U0002,2023-07-19,1.0,Movies,Web
U0002,2023-07-23,0.9,Movies,TV
U0002,2023-06-13,1.5,Series,TV
U0002,2023-08-31,0.7,Movies,TV
U0002,2023-06-21,1.4,Movies,Web
U0002,2023-08-13,4.8,Series,TV
U0003,2023-04-02,3.8,Series,Mobile
U0003,2023-04-12,1.3,Series,Mobile
U0003,2023-05-10,1.0,Series,Web
U0003,2023-05-15,1.1,Series,Mobile
U0003,2023-05-01,4.2,Movies,TV
U0003,2023-05-26,4.9,Movies,TV
U0003,2023-07-04,2.6,Series,Mobile
U0003,2023-04-05,2.0,Series,Mobile
U0003,2023-05-25,3.3,Movies,Web
U0003,2023-04-05,1.2,Movies,Mobile
U0004,2023-01-10,4.2,Movies,TV
U0004,2023-02-07,4.1,Movies,Web
U0004,2023-01-14,4.2,Movies,TV
U0004,2023-03-09,1.9,Movies,Web
U0004,2023-04-13,4.7,Movies,Mobile
U0004,2023-01-17,1.2,Series,Web
U0004,2023-04-15,3.6,Movies,Mobile
U0004,2023-01-28,2.2,Series,Web
U0004,2023-03-29,2.4,Movies,Mobile
U0004,2023-05-02,1.6,Movies,Mobile
U0005,2023-06-12,3.0,Series,TV
U0005,2023-07-16,3.2,Movies,Web
U0005,2023-06-11,2.9,Movies,Mobile
U0005,2023-07-02,4.2,Movies,Web
U0005,2023-07-21,1.4,Series,Web
U0005,2023-06-29,4.1,Movies,Mobile
U0005,2023-05-03,2.2,Series,Web
U0005,2023-08-23,4.5,Series,TV
U0005,2023-05-16,1.4,Series,Mobile
U0005,2023-06-30,0.6,Series,Web
U0006,2023-07-18,3.2,Series,Web
U0006,2023-08-05,0.9,Series,Mobile
U0006,2023-08-03,0.9,Movies,TV
U0006,2023-08-02,1.4,Movies,TV
U0006,2023-09-28,0.9,Series,TV
U0006,2023-10-02,4.3,Series,TV
U0006,2023-09-27,2.7,Movies,Web
U0006,2023-08-24,4.2,Movies,TV
U0006,2023-08-30,4.7,Movies,Web
U0006,2023-10-18,3.1,Series,Web
U0007,2023-09-29,1.4,Movies,Web
U0007,2023-09-10,1.6,Series,TV
U0007,2023-07-15,4.5,Movies,TV
U0007,2023-07-21,0.9,Series,Web
U0007,2023-07-14,1.4,Series,TV
U0007,2023-10-17,1.9,Series,Web
U0007,2023-08-11,2.0,Series,Web
U0007,2023-09-08,4.5,Series,Web
U0007,2023-07-26,2.0,Movies,Web
U0007,2023-09-17,2.8,Movies,TV
U0008,2023-07-23,3.2,Series,Mobile
U0008,2023-07-10,0.7,Movies,TV
U0008,2023-06-10,1.7,Series,Web
U0008,2023-04-09,1.5,Series,TV
U0008,2023-07-22,3.8,Series,Mobile
U0008,2023-05-16,2.7,Movies,TV
U0008,2023-04-20,2.0,Series,Web
U0008,2023-06-25,3.3,Series,Mobile
